"clip","act","first","last","seed_family","recommended_seed","seed_used","task_id","status","attempts","credits","file","prompt","notes"
"ARC-001","ACT I - THE CITY ABOVE","ARC-KF01","ARC-KF02","UPPER_CITY","173201","","","pending","0","0","ARC-001.mp4","Generate single shot. Treat the supplied ARC-KF01 FIRST frame and ARC-KF02 LAST frame as immutable exact endpoints. One continuous dawn event lays the existing clouds into visible brushstrokes and carries their warm light down the central avenue until the streets and five monument plinths reach the supplied morning state. Make one slow 35 mm aerial push forward eighty metres toward the city along the avenue axis, preserving the exact skyline, central tower, cliff, ocean, airship lanes, gold-teal architecture, and centered sun as the painted clouds settle. Complete the dominant action by 4.5 seconds, match the supplied ARC-KF02 LAST frame exactly, and hold motionless through 5.0 seconds. painterly graphic-novel realism, visible brushstrokes, art-deco gold-teal above, neon green-magenta undercity, hand-drawn smoke, hard rim light. No dialogue. No background music.",""
"ARC-002","ACT I - THE CITY ABOVE","ARC-KF02","ARC-KF03","UPPER_CITY","173201","","","pending","0","0","ARC-002.mp4","Generate single shot. Treat the supplied ARC-KF02 FIRST frame and ARC-KF03 LAST frame as immutable exact endpoints. Each of the five complete plinths keeps its built monument rigid while its existing long shadow coherently reshapes into a small crowd using that monument, then settles in the original sun-cast direction as the brass globe becomes the destination. Make one slow 45 mm lateral track right twelve metres past all five complete plinths, preserving the globe, mask, cannon, dome, statue, their spacing, avenue symmetry, and warm upper-city daylight. Complete the dominant action by 4.5 seconds, match the supplied ARC-KF03 LAST frame exactly, and hold motionless through 5.0 seconds. painterly graphic-novel realism, visible brushstrokes, art-deco gold-teal above, neon green-magenta undercity, hand-drawn smoke, hard rim light. No dialogue. No background music.",""
"ARC-003","ACT I - THE CITY ABOVE","ARC-KF03","ARC-KF04","UPPER_CITY","173201","","","pending","0","0","ARC-003.mp4","Generate single shot. Treat the supplied ARC-KF03 FIRST frame and ARC-KF04 LAST frame as immutable exact endpoints. The emerald-teal ocean inside the existing brass globe completes one gentle circulating swell while the glass carries a live reflection of one athlete's long leap toward the neighboring mask plinth. Make one slow 60 mm clockwise orbit of eight degrees around the globe, preserving the floating-island positions, moving water, glass reflections, gold gallery daylight, and rigid globe geometry as its real brass meridian crosses the lens as natural foreground occlusion. Complete the dominant action by 4.5 seconds, match the supplied ARC-KF04 LAST frame exactly, and hold motionless through 5.0 seconds. painterly graphic-novel realism, visible brushstrokes, art-deco gold-teal above, neon green-magenta undercity, hand-drawn smoke, hard rim light. No dialogue. No background music.",""
"ARC-004","ACT I - THE CITY ABOVE","ARC-KF04","ARC-KF05","UPPER_CITY","173201","","","pending","0","0","ARC-004.mp4","Generate single shot. Treat the supplied ARC-KF04 FIRST frame and ARC-KF05 LAST frame as immutable exact endpoints. The carved leaves around the existing mask perform one coherent rearrangement into a second readable face, then the same leaf forms finish as settled petals while the neighboring dome gleams beyond the gold frame. Make one slow 50 mm lateral track right four metres across the mask, preserving the rigid jungle-king features, bright inlays, gallery daylight, and carved material as the real frame passes close to the lens as physical occlusion. Complete the dominant action by 4.5 seconds, match the supplied ARC-KF05 LAST frame exactly, and hold motionless through 5.0 seconds. painterly graphic-novel realism, visible brushstrokes, art-deco gold-teal above, neon green-magenta undercity, hand-drawn smoke, hard rim light. No dialogue. No background music.",""
"ARC-005","ACT I - THE CITY ABOVE","ARC-KF05","ARC-KF06","UPPER_CITY","173201","","","pending","0","0","ARC-005.mp4","Generate single shot. Treat the supplied ARC-KF05 FIRST frame and ARC-KF06 LAST frame as immutable exact endpoints. The existing printed picture completes one visible repaint stroke as its sheet settles onto the cake and dissolves cleanly into frosting; the resulting warm steam rises as a single coherent veil toward the statue hall. Make one slow 70 mm macro push forward one metre over the settling sheet, preserving the glass dome, brass arms, porcelain cake, warm window light, and painterly materials as the real steam passes across the lens as physical occlusion. Complete the dominant action by 4.5 seconds, match the supplied ARC-KF06 LAST frame exactly, and hold motionless through 5.0 seconds. painterly graphic-novel realism, visible brushstrokes, art-deco gold-teal above, neon green-magenta undercity, hand-drawn smoke, hard rim light. No dialogue. No background music.",""
"ARC-006","ACT I - THE CITY ABOVE","ARC-KF06","ARC-KF07","UPPER_CITY","173201","","","pending","0","0","ARC-006.mp4","Generate single shot. Treat the supplied ARC-KF06 FIRST frame and ARC-KF07 LAST frame as immutable exact endpoints. The painted half of the existing statue completes one shallow breath while the marble half remains rigid; one gold clock reflection catches both eyes and travels down the central sternum seam. Make one slow 85 mm push forward 1.5 metres toward that seam, preserving the two material halves, stern identity, hard side light, statue proportions, and hall architecture as the real gold reflection expands across the lens into the supplied clock composition. Complete the dominant action by 4.5 seconds, match the supplied ARC-KF07 LAST frame exactly, and hold motionless through 5.0 seconds. painterly graphic-novel realism, visible brushstrokes, art-deco gold-teal above, neon green-magenta undercity, hand-drawn smoke, hard rim light. No dialogue. No background music.",""
"ARC-007","ACT I - THE CITY ABOVE","ARC-KF07","ARC-KF08","UPPER_CITY","173201","","","pending","0","0","ARC-007.mp4","Generate single shot. Treat the supplied ARC-KF07 FIRST frame and ARC-KF08 LAST frame as immutable exact endpoints. Each existing green-gold window in the clock ring holds one minute machine scene completing its check; the full ring then reaches one steady illumination whose reflection descends along the tower brass toward the street grate. Make one slow 40 mm crane upward fifteen metres along the clock face, preserving the exact circular geometry, brass ribs, window count, warm sky, and architectural axis as the real outer rim passes across the lens as physical occlusion. Complete the dominant action by 4.5 seconds, match the supplied ARC-KF08 LAST frame exactly, and hold motionless through 5.0 seconds. painterly graphic-novel realism, visible brushstrokes, art-deco gold-teal above, neon green-magenta undercity, hand-drawn smoke, hard rim light. No dialogue. No background music.",""
"ARC-008","ACT I - THE CITY ABOVE","ARC-KF08","ARC-KF09","UPPER_CITY","173201","","","pending","0","0","ARC-008.mp4","Generate single shot. Treat the supplied ARC-KF08 FIRST frame and ARC-KF09 LAST frame as immutable exact endpoints. The same adult faceless engineer lifts the existing street grate as green undercity glow paints the coat's shadow upward across the wall, then completes the action by stepping down into the waiting brass cage lift. Make one controlled 50 mm push forward one metre behind the engineer's shoulder, preserving the navy coat, gold seams, parapet, city light direction, rigid grate, and vertical shaft geometry as the grate rim becomes natural foreground occlusion. Complete the dominant action by 4.5 seconds, match the supplied ARC-KF09 LAST frame exactly, and hold motionless through 5.0 seconds. painterly graphic-novel realism, visible brushstrokes, art-deco gold-teal above, neon green-magenta undercity, hand-drawn smoke, hard rim light. No dialogue. No background music.",""
"ARC-009","ACT II - THE DESCENT","ARC-KF09","ARC-KF10","DESCENT","284302","","","pending","0","0","ARC-009.mp4","Generate single shot. Treat the supplied ARC-KF09 FIRST frame and ARC-KF10 LAST frame as immutable exact endpoints. The occupied brass cage lift performs one steady descent while the existing masonry strata scroll past like frames of an old film reel, each era remaining a finished architectural layer before the cage enters the green smog sea. Keep one locked 35 mm camera riding with the cage downward thirty metres at a constant speed, preserving the faceless engineer silhouette, cage proportions, shaft rails, mosaic strata, green-magenta lights, and deep workshop geography. Complete the dominant action by 4.5 seconds, match the supplied ARC-KF10 LAST frame exactly, and hold motionless through 5.0 seconds. painterly graphic-novel realism, visible brushstrokes, art-deco gold-teal above, neon green-magenta undercity, hand-drawn smoke, hard rim light. No dialogue. No background music.",""
"ARC-010","ACT II - THE DESCENT","ARC-KF10","ARC-KF11","DESCENT","284302","","","pending","0","0","ARC-010.mp4","Generate single shot. Treat the supplied ARC-KF10 FIRST frame and ARC-KF11 LAST frame as immutable exact endpoints. The descending cage breaks through one coherent smog layer while the existing abstract neon sign-shapes bend their light around the smog instead of through it; the vapor parts around the rigid cage and the workshop lane brightens ahead. Make one controlled 30 mm crane forward fifteen metres through the opening, preserving the iron and verdigris catwalks, magenta shapes, distant city scale, atmospheric density, and pipe geography as one real pipe supplies natural foreground occlusion. Complete the dominant action by 4.5 seconds, match the supplied ARC-KF11 LAST frame exactly, and hold motionless through 5.0 seconds. painterly graphic-novel realism, visible brushstrokes, art-deco gold-teal above, neon green-magenta undercity, hand-drawn smoke, hard rim light. No dialogue. No background music.",""
